scientificName,decimalLongitude,decimalLatitude
Gambierdiscus,153.48,-26.98
Gambierdiscus,147.04,-18.62
Gambierdiscus,152.8,-25.2
Gambierdiscus,153.48,-26.98
Gambierdiscus,152.4,-24.8
Gambierdiscus,146.2,-17
Gambierdiscus,153.48,-26.98
Gambierdiscus,152.4,-24.8
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,152.4,-24.8
Gambierdiscus,152.5,-25.1
Gambierdiscus,152.8,-25.2
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus belizeanus,-62.84,17.92
Gambierdiscus,147.04,-18.62
Gambierdiscus,152.8,-25.2
Gambierdiscus,152.4,-24.8
Gambierdiscus,153.48,-26.98
Gambierdiscus,147.04,-18.62
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,147.04,-18.62
Gambierdiscus,147.04,-18.62
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,152.4,-24.8
Gambierdiscus,152.9,-25.3
Gambierdiscus,153.48,-26.98
Gambierdiscus,146.2,-17
Gambierdiscus,147.04,-18.62
Gambierdiscus,153.48,-26.98
Gambierdiscus,152.47,-24.82
Gambierdiscus,153.48,-26.98
Gambierdiscus,152.47,-24.82
Gambierdiscus,152.8,-25.2
Gambierdiscus,152.5,-25.1
Gambierdiscus,147.04,-18.62
Gambierdiscus,147.04,-18.62
Gambierdiscus,146.2,-17
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,147.04,-18.62
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,146.2,-17
Gambierdiscus,146.2,-17
Gambierdiscus,146.2,-17
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,147.04,-18.62
Gambierdiscus,147.04,-18.62
Gambierdiscus,146.2,-17
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.112,-26.616
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.15,-26.75
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.15,-26.75
Gambierdiscus,153.55,-27.39
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
